"Year","State","State_ab","Population"
1951,"California          ","CA",11134000
1951,"Colorado            ","CO",1326000
1951,"Connecticut         ","CT",2028000.125
1951,"Delaware            ","DE",331000
1951,"Florida             ","FL",2980000
1951,"Georgia             ","GA",3531000
1951,"Hawaii              ","HI",514000
1951,"Idaho               ","ID",589000
1951,"Illinois            ","IL",8790000
1951,"Indiana             ","IN",4096000
1951,"Iowa                ","IA",2617000
1951,"Kansas              ","KS",1950000
1951,"Kentucky            ","KY",2941000
1951,"Louisiana           ","LA",2769000
1951,"Maine               ","ME",916000
1951,"Maryland            ","MD",2441000
1951,"Massachusetts       ","MA",4654000
1951,"Michigan            ","MI",6497000
1951,"Minnesota           ","MN",3010000
1951,"Mississippi         ","MS",2163000
1951,"Missouri            ","MO",4014999.75
1951,"Montana             ","MT",596000
1951,"Nebraska            ","NE",1316000
1951,"Nevada              ","NV",168000
1951,"New Hampshire       ","NH",529000
1951,"New Jersey          ","NJ",5006000
1951,"New Mexico          ","NM",717000
1951,"New York            ","NY",14890000
1951,"North Carolina      ","NC",4120000
1951,"North Dakota        ","ND",604000
1951,"Ohio                ","OH",8061000
1951,"Oklahoma            ","OK",2210000
1951,"Oregon              ","OR",1556000
1951,"Pennsylvania        ","PA",10461000
1951,"Rhode Island        ","RI",784000
1951,"South Carolina      ","SC",2167000
1951,"South Dakota        ","SD",655000
1951,"Tennessee           ","TN",3372000
1951,"Texas               ","TX",8111000
1951,"Utah                ","UT",706000
1951,"Vermont             ","VT",378000
1951,"Virginia            ","VA",3434000
1951,"Washington          ","WA",2424000
1951,"West Virginia       ","WV",1984000
1951,"Wisconsin           ","WI",3439000
1951,"Wyoming             ","WY",291000
1952,"Alabama             ","AL",3068000
1952,"Alaska              ","AK",189000
1952,"Arizona             ","AZ",842000
1952,"Arkansas            ","AR",1838000
1952,"California          ","CA",11635000
1952,"Colorado            ","CO",1365000
1952,"Connecticut         ","CT",2081000
1952,"Delaware            ","DE",341000
1952,"Florida             ","FL",3157000
1952,"Georgia             ","GA",3584000
1952,"Hawaii              ","HI",517000
1952,"Idaho               ","ID",587000
1952,"Illinois            ","IL",8956000
1952,"Indiana             ","IN",4148000
1952,"Iowa                ","IA",2626000
1952,"Kansas              ","KS",1977000
1952,"Kentucky            ","KY",2920000
1952,"Louisiana           ","LA",2842000
1952,"Maine               ","ME",915000
1952,"Maryland            ","MD",2500000
1952,"Massachusetts       ","MA",4650000
1952,"Michigan            ","MI",6650000
1952,"Minnesota           ","MN",3030000
1952,"Mississippi         ","MS",2152000
1952,"Missouri            ","MO",3972000
1952,"Montana             ","MT",602000
1952,"Nebraska            ","NE",1311000
1952,"Nevada              ","NV",181000
1952,"New Hampshire       ","NH",535000
1952,"New Jersey          ","NJ",5125000
1952,"New Mexico          ","NM",735000
1952,"New York            ","NY",15192000
1952,"North Carolina      ","NC",4109000
1952,"North Dakota        ","ND",608000
1952,"Ohio                ","OH",8275000
1952,"Oklahoma            ","OK",2219000
1952,"Oregon              ","OR",1582000
1952,"Pennsylvania        ","PA",10503000
1952,"Rhode Island        ","RI",802000
1952,"South Carolina      ","SC",2178000
1952,"South Dakota        ","SD",651000
1952,"Tennessee           ","TN",3352000
1952,"Texas               ","TX",8314000
1952,"Utah                ","UT",724000
1952,"Vermont             ","VT",375000
1952,"Virginia            ","VA",3504000
1952,"Washington          ","WA",2448000
1952,"West Virginia       ","WV",1957000
1952,"Wisconsin           ","WI",3469000
1952,"Wyoming             ","WY",293000
1953,"Alabama             ","AL",3053000
1953,"Alaska              ","AK",205000
1953,"Arizona             ","AZ",894000
1953,"Arkansas            ","AR",1780000
1953,"California          ","CA",12251000
1953,"Colorado            ","CO",1431000
1953,"Connecticut         ","CT",2168000
1953,"Delaware            ","DE",351000
1953,"Florida             ","FL",3310000
1953,"Georgia             ","GA",3558000
1953,"Hawaii              ","HI",510000
1953,"Idaho               ","ID",596000
1953,"Illinois            ","IL",9065000
1953,"Indiana             ","IN",4182000
1953,"Iowa                ","IA",2629000
1953,"Kansas              ","KS",1994000
1953,"Kentucky            ","KY",2903000
1953,"Louisiana           ","LA",2866000
1953,"Maine               ","ME",913000
1953,"Maryland            ","MD",2567000
1953,"Massachusetts       ","MA",4806000
1953,"Michigan            ","MI",6822000
1953,"Minnesota           ","MN",3050000
1953,"Mississippi         ","MS",2105000
1953,"Missouri            ","MO",4020000
1953,"Montana             ","MT",616000
1953,"Nebraska            ","NE",1318000
1953,"Nevada              ","NV",195000
1953,"New Hampshire       ","NH",547000
1953,"New Jersey          ","NJ",5229000
1953,"New Mexico          ","NM",756000
1953,"New York            ","NY",15527000
1953,"North Carolina      ","NC",4120000
1953,"North Dakota        ","ND",609000
1953,"Ohio                ","OH",8591000
1953,"Oklahoma            ","OK",2182000
1953,"Oregon              ","OR",1601000
1953,"Pennsylvania        ","PA",10662000
1953,"Rhode Island        ","RI",815000
1953,"South Carolina      ","SC",2181000
1953,"South Dakota        ","SD",648000
1953,"Tennessee           ","TN",3319000
1953,"Texas               ","TX",8336000
1953,"Utah                ","UT",739000
1953,"Vermont             ","VT",379000
1953,"Virginia            ","VA",3557000
1953,"Washington          ","WA",2466000
1953,"West Virginia       ","WV",1929000
1953,"Wisconsin           ","WI",3506000
1953,"Wyoming             ","WY",290000
1954,"Alabama             ","AL",3014000
1954,"Alaska              ","AK",215000
1954,"Arizona             ","AZ",933000
1954,"Arkansas            ","AR",1734000
1954,"California          ","CA",12746000
1954,"Colorado            ","CO",1493000
1954,"Connecticut         ","CT",2249000
1954,"Delaware            ","DE",368000
1954,"Florida             ","FL",3505000
1954,"Georgia             ","GA",3602000
1954,"Hawaii              ","HI",505000
1954,"Idaho               ","ID",6e+05
1954,"Illinois            ","IL",9252000
1954,"Indiana             ","IN",4264000
1954,"Iowa                ","IA",2626000
1954,"Kansas              ","KS",2042000
1954,"Kentucky            ","KY",2902000
1954,"Louisiana           ","LA",2883000
1954,"Maine               ","ME",927000
1954,"Maryland            ","MD",2685000
1954,"Massachusetts       ","MA",4910000
1954,"Michigan            ","MI",7066000
1954,"Minnesota           ","MN",3113000
1954,"Mississippi         ","MS",2064000
1954,"Missouri            ","MO",4066000
1954,"Montana             ","MT",624000
1954,"Nebraska            ","NE",1340000
1954,"Nevada              ","NV",213000
1954,"New Hampshire       ","NH",554000
1954,"New Jersey          ","NJ",5360000
1954,"New Mexico          ","NM",763000
1954,"New York            ","NY",15814000
1954,"North Carolina      ","NC",4131000
1954,"North Dakota        ","ND",611000
1954,"Ohio                ","OH",8873000
1954,"Oklahoma            ","OK",2209000
1954,"Oregon              ","OR",1626000
1954,"Pennsylvania        ","PA",10817000
1954,"Rhode Island        ","RI",816000
1954,"South Carolina      ","SC",2176000
1954,"South Dakota        ","SD",655000
1954,"Tennessee           ","TN",3359000
1954,"Texas               ","TX",8382000
1954,"Utah                ","UT",750000
1954,"Vermont             ","VT",377000
1954,"Virginia            ","VA",3555000
1954,"Washington          ","WA",2516000
1954,"West Virginia       ","WV",1905000
1954,"Wisconsin           ","WI",3608000
1954,"Wyoming             ","WY",293000
1955,"Alabama             ","AL",3050000
1955,"Alaska              ","AK",222000
1955,"Arizona             ","AZ",987000
1955,"Arkansas            ","AR",1725000
1955,"California          ","CA",13133000
1955,"Colorado            ","CO",1546000
1955,"Connecticut         ","CT",2300000
1955,"Delaware            ","DE",389000
1955,"Florida             ","FL",3747000
1955,"Georgia             ","GA",3636000
1955,"Hawaii              ","HI",539000
1955,"Idaho               ","ID",618000
1955,"Illinois            ","IL",9435000
1955,"Indiana             ","IN",4363000
1955,"Iowa                ","IA",2679000
1955,"Kansas              ","KS",2093000
1955,"Kentucky            ","KY",2910000
1955,"Louisiana           ","LA",2946000
1955,"Maine               ","ME",934000
1955,"Maryland            ","MD",2742000
1955,"Massachusetts       ","MA",4882000
1955,"Michigan            ","MI",7285000
1955,"Minnesota           ","MN",3172000
1955,"Mississippi         ","MS",2060000
1955,"Missouri            ","MO",4134000
1955,"Montana             ","MT",636000
1955,"Nebraska            ","NE",1374000
1955,"Nevada              ","NV",237000
1955,"New Hampshire       ","NH",557000
1955,"New Jersey          ","NJ",5502000
1955,"New Mexico          ","NM",785000
1955,"New York            ","NY",15966000
1955,"North Carolina      ","NC",4242000
1955,"North Dakota        ","ND",615000
1955,"Ohio                ","OH",9017000
1955,"Oklahoma            ","OK",2250000
1955,"Oregon              ","OR",1659000
1955,"Pennsylvania        ","PA",10939000
1955,"Rhode Island        ","RI",823000
1955,"South Carolina      ","SC",2200000
1955,"South Dakota        ","SD",663000
1955,"Tennessee           ","TN",3415000
1955,"Texas               ","TX",8660000
1955,"Utah                ","UT",783000
1955,"Vermont             ","VT",375000
1955,"Virginia            ","VA",3588000
1955,"Washington          ","WA",2604000
1955,"West Virginia       ","WV",1880000
1955,"Wisconsin           ","WI",3679000
1955,"Wyoming             ","WY",307000
1956,"Alabama             ","AL",3071000
1956,"Alaska              ","AK",224000
1956,"Arizona             ","AZ",1053000
1956,"Arkansas            ","AR",1704000
1956,"California          ","CA",13713000
1956,"Colorado            ","CO",1625000
1956,"Connecticut         ","CT",2316000
1956,"Delaware            ","DE",408000
1956,"Florida             ","FL",4047000
1956,"Georgia             ","GA",3701000
1956,"Hawaii              ","HI",559000
1956,"Idaho               ","ID",628000
1956,"Illinois            ","IL",9530000
1956,"Indiana             ","IN",4458000
1956,"Iowa                ","IA",2703000
1956,"Kansas              ","KS",2119000
1956,"Kentucky            ","KY",2898000
1956,"Louisiana           ","LA",3032000
1956,"Maine               ","ME",938000
1956,"Maryland            ","MD",2811000
1956,"Massachusetts       ","MA",4891000
1956,"Michigan            ","MI",7467000
1956,"Minnesota           ","MN",3240000
1956,"Mississippi         ","MS",2086000
1956,"Missouri            ","MO",4163000
1956,"Montana             ","MT",656000
1956,"Nebraska            ","NE",1397000
1956,"Nevada              ","NV",250000
1956,"New Hampshire       ","NH",566000
1956,"New Jersey          ","NJ",5615000
1956,"New Mexico          ","NM",806000
1956,"New York            ","NY",16112000
1956,"North Carolina      ","NC",4309000
1956,"North Dakota        ","ND",613000
1956,"Ohio                ","OH",9207000
1956,"Oklahoma            ","OK",2273000
1956,"Oregon              ","OR",1698000
1956,"Pennsylvania        ","PA",10972000
1956,"Rhode Island        ","RI",840000
1956,"South Carolina      ","SC",2229000
1956,"South Dakota        ","SD",670000
1956,"Tennessee           ","TN",3415000
1956,"Texas               ","TX",8830000
1956,"Utah                ","UT",809000
1956,"Vermont             ","VT",377000
1956,"Virginia            ","VA",3722000
1956,"Washington          ","WA",2668000
1956,"West Virginia       ","WV",1857000
1956,"Wisconsin           ","WI",3742000
1956,"Wyoming             ","WY",312000
1957,"Alabama             ","AL",3109000
1957,"Alaska              ","AK",231000
1957,"Arizona             ","AZ",1125000
1957,"Arkansas            ","AR",1733000
1957,"California          ","CA",14264000
1957,"Colorado            ","CO",1664000
1957,"Connecticut         ","CT",2359000
1957,"Delaware            ","DE",426000
1957,"Florida             ","FL",4372000
1957,"Georgia             ","GA",3766000
1957,"Hawaii              ","HI",584000
1957,"Idaho               ","ID",642000
1957,"Illinois            ","IL",9668000
1957,"Indiana             ","IN",4529000
1957,"Iowa                ","IA",2716000
1957,"Kansas              ","KS",2128000
1957,"Kentucky            ","KY",2928000
1957,"Louisiana           ","LA",3115000
1957,"Maine               ","ME",943000
1957,"Maryland            ","MD",2873000
1957,"Massachusetts       ","MA",4929000
