"name","state","party","year"
"James Abdnor","South Dakota","Republican","1981"
"James Abdnor","South Dakota","Republican","1982"
"James Abdnor","South Dakota","Republican","1983"
"James Abdnor","South Dakota","Republican","1984"
"James Abdnor","South Dakota","Republican","1985"
"Hazel Abel","Nebraska","Republican","1954"
"James Abourezk","South Dakota","Democratic","1973"
"James Abourezk","South Dakota","Democratic","1974"
"James Abourezk","South Dakota","Democratic","1975"
"James Abourezk","South Dakota","Democratic","1976"
"James Abourezk","South Dakota","Democratic","1977"
"James Abourezk","South Dakota","Democratic","1978"
"James Abourezk","South Dakota","Democratic","1979"
"George D. Aiken","Vermont","Republican","1945"
"George D. Aiken","Vermont","Republican","1946"
"George D. Aiken","Vermont","Republican","1947"
"George D. Aiken","Vermont","Republican","1948"
"George D. Aiken","Vermont","Republican","1949"
"George D. Aiken","Vermont","Republican","1950"
"George D. Aiken","Vermont","Republican","1951"
"George D. Aiken","Vermont","Republican","1952"
"George D. Aiken","Vermont","Republican","1953"
"George D. Aiken","Vermont","Republican","1954"
"George D. Aiken","Vermont","Republican","1955"
"George D. Aiken","Vermont","Republican","1956"
"George D. Aiken","Vermont","Republican","1957"
"George D. Aiken","Vermont","Republican","1958"
"George D. Aiken","Vermont","Republican","1959"
"George D. Aiken","Vermont","Republican","1960"
"George D. Aiken","Vermont","Republican","1961"
"George D. Aiken","Vermont","Republican","1962"
"George D. Aiken","Vermont","Republican","1963"
"George D. Aiken","Vermont","Republican","1964"
"George D. Aiken","Vermont","Republican","1965"
"George D. Aiken","Vermont","Republican","1966"
"George D. Aiken","Vermont","Republican","1967"
"George D. Aiken","Vermont","Republican","1968"
"George D. Aiken","Vermont","Republican","1969"
"George D. Aiken","Vermont","Republican","1970"
"George D. Aiken","Vermont","Republican","1971"
"George D. Aiken","Vermont","Republican","1972"
"George D. Aiken","Vermont","Republican","1973"
"George D. Aiken","Vermont","Republican","1974"
"George D. Aiken","Vermont","Republican","1975"
"James B. Allen","Alabama","Democratic","1969"
"James B. Allen","Alabama","Democratic","1970"
"James B. Allen","Alabama","Democratic","1971"
"James B. Allen","Alabama","Democratic","1972"
"James B. Allen","Alabama","Democratic","1973"
"James B. Allen","Alabama","Democratic","1974"
"James B. Allen","Alabama","Democratic","1975"
"James B. Allen","Alabama","Democratic","1976"
"James B. Allen","Alabama","Democratic","1977"
"James B. Allen","Alabama","Democratic","1978"
"Maryon Pittman Allen","Alabama","Democratic","1978"
"Gordon L. Allott","Colorado","Republican","1955"
"Gordon L. Allott","Colorado","Republican","1956"
"Gordon L. Allott","Colorado","Republican","1957"
"Gordon L. Allott","Colorado","Republican","1958"
"Gordon L. Allott","Colorado","Republican","1959"
"Gordon L. Allott","Colorado","Republican","1960"
"Gordon L. Allott","Colorado","Republican","1961"
"Gordon L. Allott","Colorado","Republican","1962"
"Gordon L. Allott","Colorado","Republican","1963"
"Gordon L. Allott","Colorado","Republican","1964"
"Gordon L. Allott","Colorado","Republican","1965"
"Gordon L. Allott","Colorado","Republican","1966"
"Gordon L. Allott","Colorado","Republican","1967"
"Gordon L. Allott","Colorado","Republican","1968"
"Gordon L. Allott","Colorado","Republican","1969"
"Gordon L. Allott","Colorado","Republican","1970"
"Gordon L. Allott","Colorado","Republican","1971"
"Gordon L. Allott","Colorado","Republican","1972"
"Gordon L. Allott","Colorado","Republican","1973"
"Clinton P. Anderson","New Mexico","Democratic","1949"
"Clinton P. Anderson","New Mexico","Democratic","1950"
"Clinton P. Anderson","New Mexico","Democratic","1951"
"Clinton P. Anderson","New Mexico","Democratic","1952"
"Clinton P. Anderson","New Mexico","Democratic","1953"
"Clinton P. Anderson","New Mexico","Democratic","1954"
"Clinton P. Anderson","New Mexico","Democratic","1955"
"Clinton P. Anderson","New Mexico","Democratic","1956"
"Clinton P. Anderson","New Mexico","Democratic","1957"
"Clinton P. Anderson","New Mexico","Democratic","1958"
"Clinton P. Anderson","New Mexico","Democratic","1959"
"Clinton P. Anderson","New Mexico","Democratic","1960"
"Clinton P. Anderson","New Mexico","Democratic","1961"
"Clinton P. Anderson","New Mexico","Democratic","1962"
"Clinton P. Anderson","New Mexico","Democratic","1963"
"Clinton P. Anderson","New Mexico","Democratic","1964"
"Clinton P. Anderson","New Mexico","Democratic","1965"
"Clinton P. Anderson","New Mexico","Democratic","1966"
"Clinton P. Anderson","New Mexico","Democratic","1967"
"Clinton P. Anderson","New Mexico","Democratic","1968"
"Clinton P. Anderson","New Mexico","Democratic","1969"
"Clinton P. Anderson","New Mexico","Democratic","1970"
"Clinton P. Anderson","New Mexico","Democratic","1971"
"Clinton P. Anderson","New Mexico","Democratic","1972"
"Clinton P. Anderson","New Mexico","Democratic","1973"
"Wendell Anderson","Minnesota","Democratic","1976"
"Wendell Anderson","Minnesota","Democratic","1977"
"Wendell Anderson","Minnesota","Democratic","1978"
"Charles O. Andrews","Florida","Democratic","1945"
"Charles O. Andrews","Florida","Democratic","1946"
"Mark Andrews","North Dakota","Republican","1981"
"Mark Andrews","North Dakota","Republican","1982"
"Mark Andrews","North Dakota","Republican","1983"
"Mark Andrews","North Dakota","Republican","1984"
"Mark Andrews","North Dakota","Republican","1985"
"William L. Armstrong","Colorado","Republican","1979"
"William L. Armstrong","Colorado","Republican","1980"
"William L. Armstrong","Colorado","Republican","1981"
"William L. Armstrong","Colorado","Republican","1982"
"William L. Armstrong","Colorado","Republican","1983"
"William L. Armstrong","Colorado","Republican","1984"
"William L. Armstrong","Colorado","Republican","1985"
"Warren Austin","Vermont","Republican","1945"
"Warren Austin","Vermont","Republican","1946"
"Josiah W. Bailey","North Carolina","Democratic","1945"
"Josiah W. Bailey","North Carolina","Democratic","1946"
"Howard Baker Jr.","Tennessee","Republican","1967"
"Howard Baker Jr.","Tennessee","Republican","1968"
"Howard Baker Jr.","Tennessee","Republican","1969"
"Howard Baker Jr.","Tennessee","Republican","1970"
"Howard Baker Jr.","Tennessee","Republican","1971"
"Howard Baker Jr.","Tennessee","Republican","1972"
"Howard Baker Jr.","Tennessee","Republican","1973"
"Howard Baker Jr.","Tennessee","Republican","1974"
"Howard Baker Jr.","Tennessee","Republican","1975"
"Howard Baker Jr.","Tennessee","Republican","1976"
"Howard Baker Jr.","Tennessee","Republican","1977"
"Howard Baker Jr.","Tennessee","Republican","1978"
"Howard Baker Jr.","Tennessee","Republican","1979"
"Howard Baker Jr.","Tennessee","Republican","1980"
"Howard Baker Jr.","Tennessee","Republican","1981"
"Howard Baker Jr.","Tennessee","Republican","1982"
"Howard Baker Jr.","Tennessee","Republican","1983"
"Howard Baker Jr.","Tennessee","Republican","1984"
"Howard Baker Jr.","Tennessee","Republican","1985"
"Raymond E. Baldwin","Connecticut","Republican","1946"
"Raymond E. Baldwin","Connecticut","Republican","1947"
"Raymond E. Baldwin","Connecticut","Republican","1948"
"Raymond E. Baldwin","Connecticut","Republican","1949"
"Joseph H. Ball","Minnesota","Republican","1945"
"Joseph H. Ball","Minnesota","Republican","1946"
"Joseph H. Ball","Minnesota","Republican","1947"
"Joseph H. Ball","Minnesota","Republican","1948"
"Joseph H. Ball","Minnesota","Republican","1949"
"John H. Bankhead II","Alabama","Democratic","1945"
"John H. Bankhead II","Alabama","Democratic","1946"
"Alben W. Barkley","Kentucky","Democratic","1945"
"Alben W. Barkley","Kentucky","Democratic","1946"
"Alben W. Barkley","Kentucky","Democratic","1947"
"Alben W. Barkley","Kentucky","Democratic","1948"
"Alben W. Barkley","Kentucky","Democratic","1949"
"Alben W. Barkley","Kentucky","Democratic","1955"
"Alben W. Barkley","Kentucky","Democratic","1956"
"Frank A. Barrett","Wyoming","Republican","1953"
"Frank A. Barrett","Wyoming","Republican","1954"
"Frank A. Barrett","Wyoming","Republican","1955"
"Frank A. Barrett","Wyoming","Republican","1956"
"Frank A. Barrett","Wyoming","Republican","1957"
"Frank A. Barrett","Wyoming","Republican","1958"
"Frank A. Barrett","Wyoming","Republican","1959"
"Bob Bartlett","Alaska","Democratic","1959"
"Bob Bartlett","Alaska","Democratic","1960"
"Bob Bartlett","Alaska","Democratic","1961"
"Bob Bartlett","Alaska","Democratic","1962"
"Bob Bartlett","Alaska","Democratic","1963"
"Bob Bartlett","Alaska","Democratic","1964"
"Bob Bartlett","Alaska","Democratic","1965"
"Bob Bartlett","Alaska","Democratic","1966"
"Bob Bartlett","Alaska","Democratic","1967"
"Bob Bartlett","Alaska","Democratic","1968"
"Dewey F. Bartlett","Oklahoma","Republican","1973"
"Dewey F. Bartlett","Oklahoma","Republican","1974"
"Dewey F. Bartlett","Oklahoma","Republican","1975"
"Dewey F. Bartlett","Oklahoma","Republican","1976"
"Dewey F. Bartlett","Oklahoma","Republican","1977"
"Dewey F. Bartlett","Oklahoma","Republican","1978"
"Dewey F. Bartlett","Oklahoma","Republican","1979"
"Ross Bass","Tennessee","Democratic","1964"
"Ross Bass","Tennessee","Democratic","1965"
"Ross Bass","Tennessee","Democratic","1966"
"Ross Bass","Tennessee","Democratic","1967"
"Max Baucus","Montana","Democratic","1978"
"Max Baucus","Montana","Democratic","1979"
"Max Baucus","Montana","Democratic","1980"
"Max Baucus","Montana","Democratic","1981"
"Max Baucus","Montana","Democratic","1982"
"Max Baucus","Montana","Democratic","1983"
"Max Baucus","Montana","Democratic","1984"
"Max Baucus","Montana","Democratic","1985"
"Birch Bayh","Indiana","Democratic","1963"
"Birch Bayh","Indiana","Democratic","1964"
"Birch Bayh","Indiana","Democratic","1965"
"Birch Bayh","Indiana","Democratic","1966"
"Birch Bayh","Indiana","Democratic","1967"
"Birch Bayh","Indiana","Democratic","1968"
"Birch Bayh","Indiana","Democratic","1969"
"Birch Bayh","Indiana","Democratic","1970"
"Birch Bayh","Indiana","Democratic","1971"
"Birch Bayh","Indiana","Democratic","1972"
"Birch Bayh","Indiana","Democratic","1973"
"Birch Bayh","Indiana","Democratic","1974"
"Birch Bayh","Indiana","Democratic","1975"
"Birch Bayh","Indiana","Democratic","1976"
"Birch Bayh","Indiana","Democratic","1977"
"Birch Bayh","Indiana","Democratic","1978"
"Birch Bayh","Indiana","Democratic","1979"
"Birch Bayh","Indiana","Democratic","1980"
"Birch Bayh","Indiana","Democratic","1981"
"James Glenn Beall","Maryland","Republican","1953"
"James Glenn Beall","Maryland","Republican","1954"
"James Glenn Beall","Maryland","Republican","1955"
"James Glenn Beall","Maryland","Republican","1956"
"James Glenn Beall","Maryland","Republican","1957"
"James Glenn Beall","Maryland","Republican","1958"
"James Glenn Beall","Maryland","Republican","1959"
"James Glenn Beall","Maryland","Republican","1960"
"James Glenn Beall","Maryland","Republican","1961"
"James Glenn Beall","Maryland","Republican","1962"
"James Glenn Beall","Maryland","Republican","1963"
"James Glenn Beall","Maryland","Republican","1964"
"James Glenn Beall","Maryland","Republican","1965"
"John Glenn Beall Jr.","Maryland","Republican","1971"
"John Glenn Beall Jr.","Maryland","Republican","1972"
"John Glenn Beall Jr.","Maryland","Republican","1973"
"John Glenn Beall Jr.","Maryland","Republican","1974"
"John Glenn Beall Jr.","Maryland","Republican","1975"
"John Glenn Beall Jr.","Maryland","Republican","1976"
"John Glenn Beall Jr.","Maryland","Republican","1977"
"Henry Bellmon","Oklahoma","Republican","1969"
"Henry Bellmon","Oklahoma","Republican","1970"
"Henry Bellmon","Oklahoma","Republican","1971"
"Henry Bellmon","Oklahoma","Republican","1972"
"Henry Bellmon","Oklahoma","Republican","1973"
"Henry Bellmon","Oklahoma","Republican","1974"
"Henry Bellmon","Oklahoma","Republican","1975"
"Henry Bellmon","Oklahoma","Republican","1976"
"Henry Bellmon","Oklahoma","Republican","1977"
"Henry Bellmon","Oklahoma","Republican","1978"
"Henry Bellmon","Oklahoma","Republican","1979"
"Henry Bellmon","Oklahoma","Republican","1980"
"Henry Bellmon","Oklahoma","Republican","1981"
"George H. Bender","Ohio","Republican","1954"
"George H. Bender","Ohio","Republican","1955"
"George H. Bender","Ohio","Republican","1956"
"George H. Bender","Ohio","Republican","1957"
"Wallace F. Bennett","Utah","Republican","1951"
"Wallace F. Bennett","Utah","Republican","1952"
"Wallace F. Bennett","Utah","Republican","1953"
"Wallace F. Bennett","Utah","Republican","1954"
"Wallace F. Bennett","Utah","Republican","1955"
"Wallace F. Bennett","Utah","Republican","1956"
"Wallace F. Bennett","Utah","Republican","1957"
"Wallace F. Bennett","Utah","Republican","1958"
"Wallace F. Bennett","Utah","Republican","1959"
"Wallace F. Bennett","Utah","Republican","1960"
"Wallace F. Bennett","Utah","Republican","1961"
"Wallace F. Bennett","Utah","Republican","1962"
"Wallace F. Bennett","Utah","Republican","1963"
"Wallace F. Bennett","Utah","Republican","1964"
"Wallace F. Bennett","Utah","Republican","1965"
"Wallace F. Bennett","Utah","Republican","1966"
"Wallace F. Bennett","Utah","Republican","1967"
"Wallace F. Bennett","Utah","Republican","1968"
"Wallace F. Bennett","Utah","Republican","1969"
"Wallace F. Bennett","Utah","Republican","1970"
"Wallace F. Bennett","Utah","Republican","1971"
"Wallace F. Bennett","Utah","Republican","1972"
"Wallace F. Bennett","Utah","Republican","1973"
"Wallace F. Bennett","Utah","Republican","1974"
"William Benton","Connecticut","Democratic","1949"
"William Benton","Connecticut","Democratic","1950"
"William Benton","Connecticut","Democratic","1951"
"William Benton","Connecticut","Democratic","1952"
"William Benton","Connecticut","Democratic","1953"
"Lloyd Bentsen","Texas","Democratic","1971"
"Lloyd Bentsen","Texas","Democratic","1972"
"Lloyd Bentsen","Texas","Democratic","1973"
"Lloyd Bentsen","Texas","Democratic","1974"
"Lloyd Bentsen","Texas","Democratic","1975"
"Lloyd Bentsen","Texas","Democratic","1976"
"Lloyd Bentsen","Texas","Democratic","1977"
"Lloyd Bentsen","Texas","Democratic","1978"
"Lloyd Bentsen","Texas","Democratic","1979"
"Lloyd Bentsen","Texas","Democratic","1980"
"Lloyd Bentsen","Texas","Democratic","1981"
"Lloyd Bentsen","Texas","Democratic","1982"
"Lloyd Bentsen","Texas","Democratic","1983"
"Lloyd Bentsen","Texas","Democratic","1984"
"Lloyd Bentsen","Texas","Democratic","1985"
"Alan Bible","Nevada","Democratic","1954"
"Alan Bible","Nevada","Democratic","1955"
"Alan Bible","Nevada","Democratic","1956"
"Alan Bible","Nevada","Democratic","1957"
"Alan Bible","Nevada","Democratic","1958"
"Alan Bible","Nevada","Democratic","1959"
"Alan Bible","Nevada","Democratic","1960"
"Alan Bible","Nevada","Democratic","1961"
"Alan Bible","Nevada","Democratic","1962"
"Alan Bible","Nevada","Democratic","1963"
"Alan Bible","Nevada","Democratic","1964"
"Alan Bible","Nevada","Democratic","1965"
"Alan Bible","Nevada","Democratic","1966"
"Alan Bible","Nevada","Democratic","1967"
"Alan Bible","Nevada","Democratic","1968"
"Alan Bible","Nevada","Democratic","1969"
"Alan Bible","Nevada","Democratic","1970"
"Alan Bible","Nevada","Democratic","1971"
"Alan Bible","Nevada","Democratic","1972"
"Alan Bible","Nevada","Democratic","1973"
"Alan Bible","Nevada","Democratic","1974"
"Joe Biden","Delaware","Democratic","1973"
"Joe Biden","Delaware","Democratic","1974"
"Joe Biden","Delaware","Democratic","1975"
"Joe Biden","Delaware","Democratic","1976"
"Joe Biden","Delaware","Democratic","1977"
"Joe Biden","Delaware","Democratic","1978"
"Joe Biden","Delaware","Democratic","1979"
"Joe Biden","Delaware","Democratic","1980"
"Joe Biden","Delaware","Democratic","1981"
"Joe Biden","Delaware","Democratic","1982"
"Joe Biden","Delaware","Democratic","1983"
"Joe Biden","Delaware","Democratic","1984"
"Joe Biden","Delaware","Democratic","1985"
"Theodore G. Bilbo","Mississippi","Democratic","1945"
"Theodore G. Bilbo","Mississippi","Democratic","1946"
"Theodore G. Bilbo","Mississippi","Democratic","1947"
"Jeff Bingaman","New Mexico","Democratic","1983"
"Jeff Bingaman","New Mexico","Democratic","1984"
"Jeff Bingaman","New Mexico","Democratic","1985"
"William A. Blakley","Texas","Democratic","1957"
"William A. Blakley","Texas","Democratic","1961"
"J. Caleb Boggs","Delaware","Republican","1961"
"J. Caleb Boggs","Delaware","Republican","1962"
"J. Caleb Boggs","Delaware","Republican","1963"
"J. Caleb Boggs","Delaware","Republican","1964"
"J. Caleb Boggs","Delaware","Republican","1965"
"J. Caleb Boggs","Delaware","Republican","1966"
"J. Caleb Boggs","Delaware","Republican","1967"
"J. Caleb Boggs","Delaware","Republican","1968"
"J. Caleb Boggs","Delaware","Republican","1969"
"J. Caleb Boggs","Delaware","Republican","1970"
"J. Caleb Boggs","Delaware","Republican","1971"
"J. Caleb Boggs","Delaware","Republican","1972"
"J. Caleb Boggs","Delaware","Republican","1973"
"David L. Boren","Oklahoma","Democratic","1979"
"David L. Boren","Oklahoma","Democratic","1980"
"David L. Boren","Oklahoma","Democratic","1981"
"David L. Boren","Oklahoma","Democratic","1982"
"David L. Boren","Oklahoma","Democratic","1983"
"David L. Boren","Oklahoma","Democratic","1984"
"David L. Boren","Oklahoma","Democratic","1985"
"Rudy Boschwitz","Minnesota","Republican","1978"
"Rudy Boschwitz","Minnesota","Republican","1979"
"Rudy Boschwitz","Minnesota","Republican","1980"
"Rudy Boschwitz","Minnesota","Republican","1981"
"Rudy Boschwitz","Minnesota","Republican","1982"
"Rudy Boschwitz","Minnesota","Republican","1983"
"Rudy Boschwitz","Minnesota","Republican","1984"
"Rudy Boschwitz","Minnesota","Republican","1985"
"Joseph H. Bottum","South Dakota","Republican","1962"
"Joseph H. Bottum","South Dakota","Republican","1963"
"Eva Bowring","Nebraska","Republican","1954"
"Bill Bradley","New Jersey","Democratic","1979"
"Bill Bradley","New Jersey","Democratic","1980"
"Bill Bradley","New Jersey","Democratic","1981"
"Bill Bradley","New Jersey","Democratic","1982"
"Bill Bradley","New Jersey","Democratic","1983"
"Bill Bradley","New Jersey","Democratic","1984"
"Bill Bradley","New Jersey","Democratic","1985"
"Nicholas F. Brady","New Jersey","Republican","1982"
"Daniel Brewster","Maryland","Democratic","1963"
"Daniel Brewster","Maryland","Democratic","1964"
"Daniel Brewster","Maryland","Democratic","1965"
"Daniel Brewster","Maryland","Democratic","1966"
"Daniel Brewster","Maryland","Democratic","1967"
"Daniel Brewster","Maryland","Democratic","1968"
"Daniel Brewster","Maryland","Democratic","1969"
"Owen Brewster","Maine","Republican","1945"
"Owen Brewster","Maine","Republican","1946"
"Owen Brewster","Maine","Republican","1947"
"Owen Brewster","Maine","Republican","1948"
"Owen Brewster","Maine","Republican","1949"
"Owen Brewster","Maine","Republican","1950"
"Owen Brewster","Maine","Republican","1951"
"Owen Brewster","Maine","Republican","1952"
"John W. Bricker","Ohio","Republican","1947"
"John W. Bricker","Ohio","Republican","1948"
"John W. Bricker","Ohio","Republican","1949"
"John W. Bricker","Ohio","Republican","1950"
"John W. Bricker","Ohio","Republican","1951"
"John W. Bricker","Ohio","Republican","1952"
"John W. Bricker","Ohio","Republican","1953"
"John W. Bricker","Ohio","Republican","1954"
"John W. Bricker","Ohio","Republican","1955"
"John W. Bricker","Ohio","Republican","1956"
"John W. Bricker","Ohio","Republican","1957"
"John W. Bricker","Ohio","Republican","1958"
"John W. Bricker","Ohio","Republican","1959"
"Styles Bridges","New Hampshire","Republican","1945"
"Styles Bridges","New Hampshire","Republican","1946"
"Styles Bridges","New Hampshire","Republican","1947"
"Styles Bridges","New Hampshire","Republican","1948"
"Styles Bridges","New Hampshire","Republican","1949"
"Styles Bridges","New Hampshire","Republican","1950"
"Styles Bridges","New Hampshire","Republican","1951"
"Styles Bridges","New Hampshire","Republican","1952"
"Styles Bridges","New Hampshire","Republican","1953"
"Styles Bridges","New Hampshire","Republican","1954"
"Styles Bridges","New Hampshire","Republican","1955"
"Styles Bridges","New Hampshire","Republican","1956"
"Styles Bridges","New Hampshire","Republican","1957"
"Styles Bridges","New Hampshire","Republican","1958"
"Styles Bridges","New Hampshire","Republican","1959"
"Styles Bridges","New Hampshire","Republican","1960"
"Styles Bridges","New Hampshire","Republican","1961"
"Frank P. Briggs","Missouri","Democratic","1945"
"Frank P. Briggs","Missouri","Democratic","1946"
"Frank P. Briggs","Missouri","Democratic","1947"
"Bill Brock","Tennessee","Republican","1971"
"Bill Brock","Tennessee","Republican","1972"
"Bill Brock","Tennessee","Republican","1973"
"Bill Brock","Tennessee","Republican","1974"
"Bill Brock","Tennessee","Republican","1975"
"Bill Brock","Tennessee","Republican","1976"
"Bill Brock","Tennessee","Republican","1977"
"Edward Brooke","Massachusetts","Republican","1967"
"Edward Brooke","Massachusetts","Republican","1968"
"Edward Brooke","Massachusetts","Republican","1969"
"Edward Brooke","Massachusetts","Republican","1970"
"Edward Brooke","Massachusetts","Republican","1971"
"Edward Brooke","Massachusetts","Republican","1972"
"Edward Brooke","Massachusetts","Republican","1973"
"Edward Brooke","Massachusetts","Republican","1974"
"Edward Brooke","Massachusetts","Republican","1975"
"Edward Brooke","Massachusetts","Republican","1976"
"Edward Brooke","Massachusetts","Republican","1977"
"Edward Brooke","Massachusetts","Republican","1978"
"Edward Brooke","Massachusetts","Republican","1979"
"Charles W. Brooks","Illinois","Republican","1945"
"Charles W. Brooks","Illinois","Republican","1946"
"Charles W. Brooks","Illinois","Republican","1947"
"Charles W. Brooks","Illinois","Republican","1948"
"Charles W. Brooks","Illinois","Republican","1949"
"J. Melville Broughton","North Carolina","Democratic","1948"
"J. Melville Broughton","North Carolina","Democratic","1949"
"Ernest S. Brown","Nevada","Republican","1954"
"C. Norman Brunsdale","North Dakota","Republican","1959"
"C. Norman Brunsdale","North Dakota","Republican","1960"
"C. Douglass Buck","Delaware","Republican","1945"
"C. Douglass Buck","Delaware","Republican","1946"
"C. Douglass Buck","Delaware","Republican","1947"
"C. Douglass Buck","Delaware","Republican","1948"
"C. Douglass Buck","Delaware","Republican","1949"
"James L. Buckley","New York","Conservative","1971"
"James L. Buckley","New York","Conservative","1972"
"James L. Buckley","New York","Conservative","1973"
"James L. Buckley","New York","Conservative","1974"
"James L. Buckley","New York","Conservative","1975"
"James L. Buckley","New York","Conservative","1976"
"James L. Buckley","New York","Conservative","1976"
"James L. Buckley","New York","Conservative","1977"
"Dale Bumpers","Arkansas","Democratic","1975"
"Dale Bumpers","Arkansas","Democratic","1976"
"Dale Bumpers","Arkansas","Democratic","1977"
"Dale Bumpers","Arkansas","Democratic","1978"
"Dale Bumpers","Arkansas","Democratic","1979"
"Dale Bumpers","Arkansas","Democratic","1980"
"Dale Bumpers","Arkansas","Democratic","1981"
"Dale Bumpers","Arkansas","Democratic","1982"
"Dale Bumpers","Arkansas","Democratic","1983"
"Dale Bumpers","Arkansas","Democratic","1984"
"Dale Bumpers","Arkansas","Democratic","1985"
"Thomas G. Burch","Virginia","Democratic","1946"
"Quentin N. Burdick","North Dakota","Democratic","1961"
"Quentin N. Burdick","North Dakota","Democratic","1962"
"Quentin N. Burdick","North Dakota","Democratic","1963"
"Quentin N. Burdick","North Dakota","Democratic","1964"
"Quentin N. Burdick","North Dakota","Democratic","1965"
"Quentin N. Burdick","North Dakota","Democratic","1966"
"Quentin N. Burdick","North Dakota","Democratic","1967"
"Quentin N. Burdick","North Dakota","Democratic","1968"
"Quentin N. Burdick","North Dakota","Democratic","1969"
"Quentin N. Burdick","North Dakota","Democratic","1970"
"Quentin N. Burdick","North Dakota","Democratic","1971"
"Quentin N. Burdick","North Dakota","Democratic","1972"
"Quentin N. Burdick","North Dakota","Democratic","1973"
"Quentin N. Burdick","North Dakota","Democratic","1974"
"Quentin N. Burdick","North Dakota","Democratic","1975"
"Quentin N. Burdick","North Dakota","Democratic","1976"
"Quentin N. Burdick","North Dakota","Democratic","1977"
"Quentin N. Burdick","North Dakota","Democratic","1978"
"Quentin N. Burdick","North Dakota","Democratic","1979"
"Quentin N. Burdick","North Dakota","Democratic","1980"
"Quentin N. Burdick","North Dakota","Democratic","1981"
"Quentin N. Burdick","North Dakota","Democratic","1982"
"Quentin N. Burdick","North Dakota","Democratic","1983"
"Quentin N. Burdick","North Dakota","Democratic","1984"
"Quentin N. Burdick","North Dakota","Democratic","1985"
"Thomas A. Burke","Ohio","Democratic","1953"
"Thomas A. Burke","Ohio","Democratic","1954"
"Harold H. Burton","Ohio","Republican","1945"
"Prescott Bush","Connecticut","Republican","1953"
"Prescott Bush","Connecticut","Republican","1954"
"Prescott Bush","Connecticut","Republican","1955"
"Prescott Bush","Connecticut","Republican","1956"
"Prescott Bush","Connecticut","Republican","1957"
"Prescott Bush","Connecticut","Republican","1958"
"Prescott Bush","Connecticut","Republican","1959"
"Prescott Bush","Connecticut","Republican","1960"
"Prescott Bush","Connecticut","Republican","1961"
"Prescott Bush","Connecticut","Republican","1962"
"Prescott Bush","Connecticut","Republican","1963"
"Harlan J. Bushfield","South Dakota","Republican","1945"
"Harlan J. Bushfield","South Dakota","Republican","1946"
"Harlan J. Bushfield","South Dakota","Republican","1947"
"Harlan J. Bushfield","South Dakota","Republican","1948"
"Vera C. Bushfield","South Dakota","Republican","1948"
"Hugh A. Butler","Nebraska","Republican","1945"
"Hugh A. Butler","Nebraska","Republican","1946"
"Hugh A. Butler","Nebraska","Republican","1947"
"Hugh A. Butler","Nebraska","Republican","1948"
"Hugh A. Butler","Nebraska","Republican","1949"
"Hugh A. Butler","Nebraska","Republican","1950"
"Hugh A. Butler","Nebraska","Republican","1951"
"Hugh A. Butler","Nebraska","Republican","1952"
"Hugh A. Butler","Nebraska","Republican","1953"
"Hugh A. Butler","Nebraska","Republican","1954"
"John M. Butler","Maryland","Republican","1951"
"John M. Butler","Maryland","Republican","1952"
"John M. Butler","Maryland","Republican","1953"
"John M. Butler","Maryland","Republican","1954"
"John M. Butler","Maryland","Republican","1955"
"John M. Butler","Maryland","Republican","1956"
"John M. Butler","Maryland","Republican","1957"
"John M. Butler","Maryland","Republican","1958"
"John M. Butler","Maryland","Republican","1959"
"John M. Butler","Maryland","Republican","1960"
"John M. Butler","Maryland","Republican","1961"
"John M. Butler","Maryland","Republican","1962"
"John M. Butler","Maryland","Republican","1963"
"Harry F. Byrd Jr.","Virginia","Democratic","1965"
"Harry F. Byrd Jr.","Virginia","Democratic","1966"
"Harry F. Byrd Jr.","Virginia","Democratic","1967"
"Harry F. Byrd Jr.","Virginia","Democratic","1968"
"Harry F. Byrd Jr.","Virginia","Democratic","1969"
"Harry F. Byrd Jr.","Virginia","Democratic","1970"
"Harry F. Byrd Jr.","Virginia","Democratic","1970"
"Harry F. Byrd Jr.","Virginia","Democratic","1971"
"Harry F. Byrd Jr.","Virginia","Democratic","1972"
"Harry F. Byrd Jr.","Virginia","Democratic","1973"
"Harry F. Byrd Jr.","Virginia","Democratic","1974"
"Harry F. Byrd Jr.","Virginia","Democratic","1975"
"Harry F. Byrd Jr.","Virginia","Democratic","1976"
"Harry F. Byrd Jr.","Virginia","Democratic","1977"
"Harry F. Byrd Jr.","Virginia","Democratic","1978"
"Harry F. Byrd Jr.","Virginia","Democratic","1979"
"Harry F. Byrd Jr.","Virginia","Democratic","1980"
"Harry F. Byrd Jr.","Virginia","Democratic","1981"
"Harry F. Byrd Jr.","Virginia","Democratic","1982"
"Harry F. Byrd Jr.","Virginia","Democratic","1983"
"Harry F. Byrd Sr.","Virginia","Democratic","1945"
"Harry F. Byrd Sr.","Virginia","Democratic","1946"
"Harry F. Byrd Sr.","Virginia","Democratic","1947"
"Harry F. Byrd Sr.","Virginia","Democratic","1948"
"Harry F. Byrd Sr.","Virginia","Democratic","1949"
"Harry F. Byrd Sr.","Virginia","Democratic","1950"
"Harry F. Byrd Sr.","Virginia","Democratic","1951"
"Harry F. Byrd Sr.","Virginia","Democratic","1952"
"Harry F. Byrd Sr.","Virginia","Democratic","1953"
"Harry F. Byrd Sr.","Virginia","Democratic","1954"
"Harry F. Byrd Sr.","Virginia","Democratic","1955"
"Harry F. Byrd Sr.","Virginia","Democratic","1956"
